[INFO 14:17:42 AirlineStress] Request sent; sleeping for 1800
[INFO 14:17:44 AirlineStress] Request sent; sleeping for 1800
[INFO 14:17:49 AirlineStress] Request sent; sleeping for 1800
[INFO 14:17:53 AirlineStress] Request sent; sleeping for 1800
[INFO 14:17:55 AirlineStress] Request sent; sleeping for 1800
[INFO 14:17:58 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:01 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:03 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:06 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:08 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:11 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:13 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:16 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:18 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:21 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:24 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:26 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:29 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:31 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:34 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:37 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:40 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:42 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:45 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:48 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:50 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:53 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:56 AirlineStress] Request sent; sleeping for 1800
[INFO 14:18:59 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:01 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:04 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:06 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:09 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:11 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:14 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:17 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:19 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:22 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:24 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:27 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:29 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:32 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:34 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:37 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:40 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:42 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:45 AirlineStress] Request sent; sleeping for 1800
[INFO 14:19:47 AirlineStress] Request sent; sleeping for 1800
